418.7	4200	3200	5200

417.4	3600	2700	4500

409.1	2836	2505	4561

402.3	3300	2400	4200

402.3	1980	1728	2232

391.4	1560	960	2160

388.6	3900	2900	5200

379.9	2800	2300	3200

370.0	3150	2400	3900

368.0	2850	2100	3600

367.0	1500	950	2050

366.9	350	0	1750

364.5	988	700	1275

342.7	1310	690	1890

342.5	2060	1500	2550

335.9	475	450	500

322.3	725	600	1000

322.3	525	450	600

322.3	800	600	1000

320.2	385	351	419

320.2	392	359	425

320.2	359	327	391

312.5	247	209	284

310.5	348	316	380

310.5	351	319	383

310.5	336	305	367

310.5	308	277	339

310.5	350	318	382

310.5	366	333	399

310.5	368	336	400

310.5	358	326	390

310.5	303	272	334

310.5	367	333	401

310.5	350	316	384

310.5	401	367	435

310.5	287	254	320

310.5	311	278	344

310.5	284	253	315

310.5	325	294	356

302.8	625	450	800

302.8	1470	850	2050

302.8	1520	900	2100

297.1	300	250	350

296.8	452	302	1051

294.0	10	0	300	park-adjusted ppm (from 0 to 10)

285.1	715	540	890

284.8	175	150	200

283.0	300	300	3300

271.0	342	309	375

270.0	300	300	2100

270.0	326	294	358

268.0	290	259	321

267.0	343	310	376

267.0	266	237	295

265.0	2098	1121	3453

264.0	920	352	2098

263.0	1607	521	3594

262.0	1433	602	2790

261.0	920	352	2098

260.0	1000	600	1500

260.0	1519	802	2547

260.0	1794	1051	2790

256.0	2317	1271	3739

249.0	3314	2317	4511

247.0	3314	2206	4674

241.0	710	400	1000

241.0	610	300	900

236.5	1210	910	1510

232.5	1699	747	3178

228.0	2098	1051	3594

228.0	1519	485	3453

228.0	747	321	1350

228.0	485	310	1794

228.0	2790	1794	4038

227.0	920	302	3046

227.0	1433	352	3887

226.0	1051	521	1893

223.0	1350	521	2790

222.3	2850	900	3450

222.3	1170	880	1460

221.0	1121	298	3453

216.0	4500	3000	6000

215.8	1650	900	3450

215.8	1830	900	3450

215.8	2250	1350	3150

215.0	2547	1271	4350

208.3	3160	1800	5400

208.3	2500	2000	3000

203.0	1194	310	3453

203.0	1994	1433	2667

200.0	1050	350	3150	park-selected uncertainty	(factor of three)

199.0	2250	750	6750	park-selected uncertainty

198.1	3010	1003	9030	park-selected uncertainty

198.1	2480	1490	3470

197.0	900	300	2700	park-selected uncertainty

197.0	650	217	1950	park-selected uncertainty

190.8	4560	3960	5160

187.6	6300	4700	7900

187.6	490	271	813

183.0	600	500	700

182.9	950	700	1200

182.8	950	700	1200

182.7	550	400	700

182.6	1550	1200	1900

182.5	1050	800	1300

173.6	6300	4700	7900

173.6	1920	1320	2520

172.6	2225	1675	2775

171.7	1263	698	2094

168.4	677	594	760

168.4	597	330	990

163.0	350	0	1750

163.0	350	0	1750

154.0	975	650	1350

153.3	3180	2280	3480

150.6	859	560	1271

142.9	2100	1600	2600

142.9	3178	2667	3739

135.1	965	534	1601

135.1	1794	1271	2430

135.0	650	500	1300

134.0	1085	940	1225

133.2	2300	2200	2400

131.0	620	590	1270

129.0	560	244	895

129.0	550	450	1130

127.5	1350	802	2098

126.0	630	530	1250

123.0	630	530	1220

120.0	1480	1200	1800

117.0	695	590	1380

115.0	2260	1350	3300

115.0	2710	1350	3300

115.0	2690	1350	3300

113.5	700	597	1340

112.3	2450	1700	3200

108.0	710	603	1400

105.8	2250	1500	3000

103.0	1514	1052	1976

103.0	1382	1018	1746

103.0	1105	1017	1193

101.0	710	580	1420

94.0	1005	800	1200

91.0	860	750	975

82.6	1400	0	3325

80.0	1260	660	1860

77.0	1200	900	1500

75.0	2950	2340	3540

70.6	883	736	1030

70.5	868	723	1012

70.4	763	636	890

69.5	378	315	441

69.3	115	95	134

69.2	365	304	426

69.1	986	822	1150

69.0	1126	939	1314

68.9	927	773	1082

68.7	611	509	713

68.5	1034	861	1206

68.4	435	363	508

68.3	607	506	708

68.1	415	346	484

68.1	300	0	1300

68.1	1480	1110	1850

68.0	475	396	554

67.8	329	274	384

67.7	512	427	597

67.5	31	26	37

67.0	430	130	730

67.0	630	330	930

67.0	750	600	900

66.0	385	321	449

66.0	820	520	1120

66.0	1400	1100	1700

66.0	657	548	767

66.0	385	379	394

65.9	796	664	929

65.9	1277	1064	1490

65.7	1358	1132	1585

65.6	790	658	922

65.6	45	37	52

65.5	750	600	900

65.5	127	106	149

65.4	271	226	316

65.2	832	693	971

65.1	549	458	641

65.0	10	0	210	park-adjusted ppm (from 0 to 10)

65.0	344	340	348

65.0	339	334	345

64.9	161	134	188

64.8	533	444	621

64.8	850	700	1000

64.6	329	325	334

64.6	334	278	389

64.5	341	337	346

64.4	264	220	308

64.3	1000	800	1200

64.2	488	407	570

64.2	534	445	623

64.0	1519	859	2430

61.5	313	310	315

59.9	1189	842	3359

59.1	451	421	519

59.1	409	388	447

57.9	353	347	361

57.1	703	395	2501

57.0	1185	685	1685

57.0	363	354	376

56.5	307	305	308

56.5	314	312	316

56.5	312	309	314

56.5	2041	1441	2641

56.4	317	315	318

56.3	309	307	311

56.2	306	304	308

56.0	200	0	350

56.0	500	300	700

56.0	600	550	740

56.0	299	297	301

55.9	390	380	406

55.9	300	297	302

55.9	1448	948	1948

55.9	298	296	300

55.9	303	302	304

55.8	939	593	2977

55.8	826	661	1000

55.7	373	368	381

55.7	1217	727	1717

55.5	200	0	350

55.5	500	300	700

55.5	500	450	550

55.4	1152	652	1652

55.4	360	353	369

54.5	345	339	352

54.1	577	177	977

54.1	323	321	326

54.1	370	350	390

54.0	342	339	346

53.4	2034	1434	2634

53.2	506	319	1604

53.0	300	0	1000

52.2	1285	909	3629

52.2	349	337	361

52.0	2700	2100	3300

51.0	130	92	367

50.3	189	169	425

50.0	1994	984	3453

47.0	98	74	262

46.1	788	702	1768

45.7	250	141	890

45.0	1950	1600	2200

44.5	488	460	515

44.3	122	108	273

44.0	1176	987	1691

42.9	619	480	757

42.9	337	325	349

42.5	71	52	197

41.1	1041	873	1496

40.1	253	167	767

40.0	670	570	780

39.9	1480	1202	2215

39.7	996	845	1413

38.0	768	658	1074

37.8	968	825	1365

37.0	1321	1084	1941

35.5	786	673	1101

35.2	709	617	977

35.0	920	521	1519

34.8	902	769	1270

34.4	901	769	1268

34.1	1093	917	1568

34.0	521	298	1121

33.1	1232	1019	1795

33.0	809	681	1152

33.0	1326	1068	1992

33.0	832	698	1189

32.9	864	729	1253

32.2	1158	962	1678

30.6	543	474	787

30.3	463	401	665

30.2	570	496	826

30.2	529	462	752

30.1	367	325	529

30.0	457	401	714

29.5	321	284	451

28.9	504	438	740

28.7	383	336	544

28.6	434	381	619

27.4	535	462	772

27.1	582	499	847

26.6	367	324	510

26.1	386	339	560

26.1	419	369	578

26.1	420	369	624

25.3	359	318	507

25.2	351	312	495

25.1	602	518	852

25.0	294	270	377

25.0	1470	770	2200

25.0	343	317	443

24.9	331	305	428

24.7	749	634	1106

24.7	466	407	671

24.7	392	361	570

24.6	248	227	352

24.5	222	204	282

24.4	246	226	314

24.2	256	237	324

23.9	271	250	343

23.9	242	222	341

23.9	287	263	410

23.8	257	236	328

23.5	297	265	343

23.5	243	222	344

23.3	211	193	267

23.0	210	187	240

22.2	250	230	353

21.7	158	126	201

21.5	305	280	435

21.1	261	240	335

21.0	780	380	1180

20.9	240	220	305

20.8	278	255	393

20.8	202	186	254

20.8	205	189	259

20.8	301	276	428

20.5	208	191	262

20.5	272	250	383

20.4	308	283	441

20.3	343	316	489

20.2	208	191	263

20.0	460	390	540

20.0	248	228	315

20.0	294	269	419

19.9	157	125	198

19.7	250	229	353

19.5	206	188	288

19.4	209	192	291

19.2	224	206	312

19.2	218	200	275

19.2	230	211	322

19.1	230	211	291

18.7	219	200	306

18.6	216	199	272

18.6	232	214	294

18.5	215	198	271

18.4	216	198	301

18.4	160	142	179

18.3	215	198	301

18.3	252	232	318

18.1	228	210	287

17.9	215	198	299

17.9	211	194	294

17.8	197	181	275

17.8	214	196	300

17.8	227	209	317

17.8	215	197	299

17.7	212	195	296

17.7	213	195	297

17.6	207	189	289

17.6	222	204	281

17.6	211	193	296

17.5	231	213	323

17.5	223	204	314

17.4	210	192	294

17.4	216	198	305

17.3	200	182	279

17.3	202	185	282

17.3	232	214	293

16.8	227	208	318

16.7	179	142	225

16.6	220	202	278

16.5	396	385	413

16.4	201	184	253

16.3	238	220	301

16.3	179	165	223

16.2	216	172	272

16.2	176	162	220

16.1	213	196	268

15.5	205	190	257

15.4	202	186	253

15.3	199	184	250

15.3	316	313	318

15.3	316	313	318

15.2	187	172	235

15.2	310	307	313

15.1	215	198	272

15.1	220	202	277

15.0	229	212	289

15.0	126	112	142

14.9	236	217	298

14.7	101	80	127

14.5	205	189	257

14.2	220	202	278

14.1	231	213	292

14.0	500	0	1000

14.0	10	0	100	park-adjusted ppm (from 0 to 10)

13.7	213	196	269

13.6	189	173	237

13.5	203	187	254

13.5	223	206	280

13.4	223	206	280

13.4	220	203	277

13.3	229	211	288

13.3	230	212	291

13.2	225	208	283

13.1	205	189	258

13.1	170	135	214

13.0	740	440	1040

13.0	440	140	740

13.0	420	375	500

12.9	228	210	287

12.9	211	194	265

12.8	224	206	283

12.7	203	186	255

12.7	210	193	264

12.5	218	200	277

12.3	213	196	269

12.2	208	191	261

12.2	202	186	254

12.1	213	196	268

11.9	245	226	310

11.8	208	165	262

11.6	225	207	284

11.5	204	188	255

11.4	211	194	266

11.4	182	144	229

11.3	232	214	293

11.1	220	203	277

11.0	510	425	575

10.9	238	220	300

10.9	228	210	287

10.7	246	227	311

10.6	223	206	280

10.5	370	350	390

10.5	251	231	318

10.4	193	172	216

10.3	243	225	307

10.2	244	225	309

10.2	255	235	323

10.1	245	226	310

10.0	1120	720	1520

10.0	1170	770	1570

9.9	235	217	296

9.8	247	227	312

9.6	205	188	259

9.6	234	216	296

9.6	263	243	334

9.6	258	238	327

9.1	268	247	342

9.1	227	209	287

9.0	179	159	201

9.0	510	110	910

8.7	247	228	313

8.5	350	340	360

8.3	237	218	301

8.0	500	0	1000

8.0	340	285	400

7.6	230	212	292

7.3	264	243	334

7.2	270	255	285

7.2	242	223	306

7.0	370	0	970

6.8	278	256	356

6.4	252	233	319

6.2	268	213	337

6.1	249	229	315

6.0	730	330	1130

6.0	234	208	262

5.8	239	221	303

5.4	261	240	331

5.1	358	340	375

5.0	350	280	420

5.0	810	410	1210

4.6	270	255	285

4.0	363	345	380

3.9	251	224	282

3.5	300	0	1000

3.4	358	340	375

3.3	220	196	247

3.0	1170	500	2000

3.0	184	146	232

2.7	276	260	292

2.0	358	340	375

1.5	271	215	341

1.0	430	360	510

1.0	286	255	321

0.1	317	252	399
